"new_cases"	"deaths"	"date"
10141	540	"20201124"
15360	674	"20201125"
16846	580	"20201126"
17059	579	"20201127"
15183	599	"20201128"
11483	283	"20201129"
5734	121	"20201130"
9066	449	"20201201"
13870	609	"20201202"
14838	620	"20201203"
13230	531	"20201204"
12430	502	"20201205"
9175	228	"20201206"
4424	92	"20201207"
8315	411	"20201208"
12164	568	"20201209"
13747	470	"20201210"
13105	544	"20201211"
11498	502	"20201212"
8978	188	"20201213"
4858	96	"20201214"
6908	349	"20201215"
12447	605	"20201216"
11953	431	"20201217"
10992	426	"20201218"
11261	483	"20201219"
8593	143	"20201220"
4633	77	"20201221"
7190	309	"20201222"
12363	472	"20201223"
13114	552	"20201224"
9077	244	"20201225"
5048	68	"20201226"
3678	56	"20201227"
3211	27	"20201228"
7914	311	"20201229"
12955	565	"20201230"
13397	532	"20201231"
11008	400	"20210101"
6945	102	"20210102"
5739	61	"20210103"
4432	42	"20210104"
7624	341	"20210105"
14151	553	"20210106"
12054	186	"20210107"
8790	332	"20210108"
10548	438	"20210109"
9410	177	"20210110"
4622	75	"20210111"
5569	326	"20210112"
9053	481	"20210113"
9436	381	"20210114"
7795	386	"20210115"
7412	369	"20210116"
6055	142	"20210117"
3271	52	"20210118"
4835	291	"20210119"
6919	443	"20210120"
7152	419	"20210121"
6640	346	"20210122"
6322	346	"20210123"
4683	110	"20210124"
2419	38	"20210125"
4604	264	"20210126"
6789	389	"20210127"
7156	389	"20210128"
6144	336	"20210129"
5864	303	"20210130"
4706	98	"20210131"
2503	42	"20210201"
4326	253	"20210202"
6802	421	"20210203"
6496	444	"20210204"
6053	368	"20210205"
5965	283	"20210206"
4728	93	"20210207"
2431	45	"20210208"
4029	227	"20210209"
6930	360	"20210210"
7008	456	"20210211"
6379	247	"20210212"
6586	284	"20210213"
5334	98	"20210214"
2543	25	"20210215"
5178	196	"20210216"
8694	279	"20210217"
9073	273	"20210218"
8777	241	"20210219"
8510	254	"20210220"
7038	94	"20210221"
3890	17	"20210222"
6310	247	"20210223"
12146	372	"20210224"
12142	286	"20210225"
11539	259	"20210226"
12100	303	"20210227"
10099	114	"20210228"
4786	24	"20210301"
7937	216	"20210302"
15698	309	"20210303"
15250	289	"20210304"
15829	263	"20210305"
14857	245	"20210306"
13574	126	"20210307"
6170	32	"20210308"
9954	282	"20210309"
17260	398	"20210310"
21045	375	"20210311"
18775	351	"20210312"
21049	343	"20210313"
17259	110	"20210314"
10896	28	"20210315"
14396	372	"20210316"
25052	453	"20210317"
27278	356	"20210318"
25998	419	"20210319"
26405	349	"20210320"
21849	140	"20210321"
14578	65	"20210322"
16741	396	"20210323"
29978	575	"20210324"
34151	520	"20210325"
35143	443	"20210326"
31757	448	"20210327"
29253	131	"20210328"
16965	48	"20210329"
20870	461	"20210330"
32874	653	"20210331"
35251	621	"20210401"
30546	497	"20210402"
28073	571	"20210403"
22947	204	"20210404"
9902	64	"20210405"
8245	60	"20210406"
14910	638	"20210407"
27887	954	"20210408"
28487	768	"20210409"
24856	749	"20210410"
21703	245	"20210411"
12013	61	"20210412"
13227	644	"20210413"
21283	803	"20210414"
21130	682	"20210415"
17847	595	"20210416"
15763	616	"20210417"
12153	207	"20210418"
7283	101	"20210419"
9246	601	"20210420"
13926	740	"20210421"
12762	694	"20210422"
10858	539	"20210423"
9505	513	"20210424"
7219	193	"20210425"
3451	22	"20210426"
5709	460	"20210427"
8895	636	"20210428"
8427	541	"20210429"
6796	429	"20210430"
6469	423	"20210501"
4612	144	"20210502"
2525	37	"20210503"
2296	28	"20210504"
3896	349	"20210505"
6431	510	"20210506"
6047	453	"20210507"
4765	421	"20210508"
3852	147	"20210509"
2032	22	"20210510"
3098	319	"20210511"
4255	343	"20210512"
3730	342	"20210513"
3288	289	"20210514"
2896	298	"20210515"
2167	55	"20210516"
1109	11	"20210517"
1734	245	"20210518"
2344	329	"20210519"
2086	250	"20210520"
1679	191	"20210521"
1516	191	"20210522"
1075	46	"20210523"
559	17	"20210524"
1000	151	"20210525"
1267	209	"20210526"
1230	135	"20210527"
946	117	"20210528"
775	125	"20210529"
579	56	"20210530"
333	7	"20210531"
588	111	"20210601"
664	128	"20210602"
572	91	"20210603"
319	26	"20210604"
415	38	"20210605"
312	13	"20210606"
194	8	"20210607"
400	95	"20210608"
428	108	"20210609"
382	84	"20210610"
341	68	"20210611"
239	47	"20210612"
227	11	"20210613"
140	1	"20210614"
215	52	"20210615"
241	62	"20210616"
218	46	"20210617"
190	48	"20210618"
168	41	"20210619"
133	5	"20210620"
73	1	"20210621"
188	29	"20210622"
165	35	"20210623"
147	24	"20210624"
133	36	"20210625"
100	21	"20210626"
71	5	"20210627"
52	0	"20210628"
123	26	"20210629"
104	16	"20210630"
98	23	"20210701"
96	21	"20210702"
107	18	"20210703"
54	1	"20210704"
38	1	"20210705"
96	10	"20210706"
103	17	"20210707"
93	19	"20210708"
76	17	"20210709"
86	7	"20210710"
66	1	"20210711"
44	0	"20210712"
96	13	"20210713"
86	6	"20210714"
105	12	"20210715"
93	14	"20210716"
114	7	"20210717"
69	3	"20210718"
67	0	"20210719"
104	4	"20210720"
124	3	"20210721"
126	9	"20210722"
108	4	"20210723"
122	6	"20210724"
82	1	"20210725"
74	0	"20210726"
106	7	"20210727"
138	3	"20210728"
167	5	"20210729"
153	2	"20210730"
153	2	"20210731"
91	0	"20210801"
91	0	"20210802"
164	4	"20210803"
164	4	"20210804"
176	6	"20210805"
172	6	"20210806"
181	4	"20210807"
122	0	"20210808"
64	0	"20210809"
200	0	"20210810"
198	4	"20210811"
223	2	"20210812"
196	6	"20210813"
211	2	"20210814"
148	0	"20210815"
128	0	"20210816"
221	7	"20210817"
208	1	"20210818"
197	4	"20210819"
212	4	"20210820"
222	1	"20210821"
185	0	"20210822"
107	0	"20210823"
233	8	"20210824"
234	5	"20210825"
251	3	"20210826"
258	3	"20210827"
290	5	"20210828"
204	0	"20210829"
151	0	"20210830"
285	5	"20210831"
366	13	"20210901"
390	7	"20210902"
349	5	"20210903"
389	7	"20210904"
324	0	"20210905"
183	0	"20210906"
406	13	"20210907"
533	11	"20210908"
510	6	"20210909"
528	8	"20210910"
530	8	"20210911"
476	0	"20210912"
269	0	"20210913"
537	8	"20210914"
767	21	"20210915"
722	10	"20210916"
652	8	"20210917"
797	14	"20210918"
540	1	"20210919"
363	0	"20210920"
711	15	"20210921"
882	20	"20210922"
974	14	"20210923"
813	14	"20210924"
917	20	"20210925"
643	1	"20210926"
421	0	"20210927"
975	29	"20210928"
1234	22	"20210929"
1208	27	"20210930"
1362	16	"20211001"
1344	23	"20211002"
1090	6	"20211003"
684	0	"20211004"
1325	46	"20211005"
2085	33	"20211006"
2007	29	"20211007"
1895	31	"20211008"
2012	29	"20211009"
1527	5	"20211010"
903	0	"20211011"
2118	49	"20211012"
2640	40	"20211013"
3000	60	"20211014"
2771	49	"20211015"
3236	44	"20211016"
2523	1	"20211017"
1537	3	"20211018"
3931	64	"20211019"
5559	75	"20211020"
5592	46	"20211021"
5706	59	"20211022"
6274	75	"20211023"
4728	13	"20211024"
2950	0	"20211025"
6265	93	"20211026"
8361	133	"20211027"
8378	101	"20211028"
9387	102	"20211029"
9798	115	"20211030"
7145	9	"20211031"
4894	13	"20211101"
4514	9	"20211102"
10429	124	"20211103"
15515	250	"20211104"
15904	152	"20211105"
15190	186	"20211106"
12493	24	"20211107"
7316	3	"20211108"
13644	220	"20211109"
18550	269	"20211110"
19074	274	"20211111"
12965	31	"20211112"
14292	266	"20211113"
14442	46	"20211114"
9512	12	"20211115"
16590	282	"20211116"
24239	463	"20211117"
24882	370	"20211118"
23242	403	"20211119"
23414	382	"20211120"
18883	41	"20211121"
12334	8	"20211122"
19936	398	"20211123"
28380	460	"20211124"
28128	497	"20211125"
26735	421	"20211126"
26182	378	"20211127"
20576	51	"20211128"
13115	18	"20211129"
19074	526	"20211130"
29064	570	"20211201"
27356	502	"20211202"
26965	470	"20211203"
25576	502	"20211204"
22389	45	"20211205"
13250	25	"20211206"
19366	504	"20211207"
28542	592	"20211208"
27458	562	"20211209"
24991	571	"20211210"
23764	486	"20211211"
19452	65	"20211212"
11379	29	"20211213"
17460	537	"20211214"
24266	669	"20211215"
22097	592	"20211216"
20027	566	"20211217"
19397	543	"20211218"
15976	70	"20211219"
9609	29	"20211220"
13806	538	"20211221"
18021	775	"20211222"
17156	616	"20211223"
15392	596	"20211224"
10788	269	"20211225"
6252	16	"20211226"
5029	38	"20211227"
9843	549	"20211228"
15571	794	"20211229"
14325	709	"20211230"
13601	638	"20211231"
12032	505	"20220101"
7179	33	"20220102"
6422	9	"20220103"
11670	433	"20220104"
17196	632	"20220105"
16576	646	"20220106"
11902	117	"20220107"
10900	292	"20220108"
11106	22	"20220109"
7785	19	"20220110"
11406	493	"20220111"
16173	684	"20220112"
16878	481	"20220113"
16047	423	"20220114"
16896	429	"20220115"
14667	35	"20220116"
10445	4	"20220117"
19652	377	"20220118"
30586	375	"20220119"
32835	315	"20220120"
36665	248	"20220121"
40876	193	"20220122"
34088	25	"20220123"
29100	2	"20220124"
36995	252	"20220125"
53420	276	"20220126"
57659	262	"20220127"
57262	271	"20220128"
51695	231	"20220129"
48251	23	"20220130"
33480	33	"20220131"
39114	239	"20220201"
56051	318	"20220202"
54477	307	"20220203"
47534	246	"20220204"
45749	272	"20220205"
34703	19	"20220206"
21980	10	"20220207"
35960	286	"20220208"
46872	310	"20220209"
42095	262	"20220210"
35777	290	"20220211"
31331	333	"20220212"
22070	31	"20220213"
13473	17	"20220214"
22267	378	"20220215"
28859	372	"20220216"
29229	316	"20220217"
23990	304	"20220218"
20902	283	"20220219"
13687	25	"20220220"
9589	16	"20220221"
18792	325	"20220222"
20456	360	"20220223"
18282	341	"20220224"
16724	198	"20220225"
13960	221	"20220226"
8902	40	"20220227"
6564	1	"20220228"
12984	269	"20220301"
14737	277	"20220302"
14068	266	"20220303"
12483	206	"20220304"
12737	199	"20220305"
7697	10	"20220306"
5585	6	"20220307"
13152	217	"20220308"
14415	234	"20220309"
13438	184	"20220310"
11637	121	"20220311"
11116	127	"20220312"
7580	10	"20220313"
5298	1	"20220314"
12695	178	"20220315"
14480	151	"20220316"
12274	207	"20220317"
11660	107	"20220318"
10379	119	"20220319"
5696	12	"20220320"
4165	3	"20220321"
10149	133	"20220322"
10437	124	"20220323"
8994	146	"20220324"
8241	110	"20220325"
6633	85	"20220326"
3494	7	"20220327"
2368	1	"20220328"
6608	110	"20220329"
5742	101	"20220330"
4997	133	"20220331"
4053	74	"20220401"
2103	96	"20220402"
557	2	"20220403"
493	0	"20220404"
1891	50	"20220405"
1571	77	"20220406"
1487	64	"20220407"
1330	58	"20220408"
1414	41	"20220409"
440	0	"20220410"
381	0	"20220411"
1623	61	"20220412"
1269	40	"20220413"
1186	39	"20220414"
1201	34	"20220415"
1078	29	"20220416"
312	0	"20220417"
266	0	"20220418"
304	0	"20220419"
1527	31	"20220420"
1178	30	"20220421"
1097	27	"20220422"
1240	22	"20220423"
344	0	"20220424"
267	0	"20220425"
1356	29	"20220426"
1041	21	"20220427"
958	24	"20220428"
857	20	"20220429"
842	17	"20220430"
234	0	"20220501"
188	0	"20220502"
890	10	"20220503"
173	1	"20220504"
912	29	"20220505"
611	25	"20220506"
704	14	"20220507"
199	0	"20220508"
184	0	"20220509"
727	12	"20220510"
566	15	"20220511"
500	11	"20220512"
469	11	"20220513"
434	21	"20220514"
139	0	"20220515"
95	0	"20220516"
512	10	"20220517"
388	13	"20220518"
359	12	"20220519"
315	13	"20220520"
336	13	"20220521"
95	0	"20220522"
65	0	"20220523"
420	16	"20220524"
284	6	"20220525"
249	9	"20220526"
262	6	"20220527"
264	6	"20220528"
83	0	"20220529"
83	0	"20220530"
346	7	"20220531"
256	7	"20220601"
220	7	"20220602"
236	4	"20220603"
254	11	"20220604"
62	0	"20220605"
53	0	"20220606"
339	6	"20220607"
204	7	"20220608"
274	6	"20220609"
247	1	"20220610"
263	2	"20220611"
56	0	"20220612"
45	0	"20220613"
321	9	"20220614"
234	7	"20220615"
228	3	"20220616"
48	0	"20220617"
255	3	"20220618"
65	0	"20220619"
47	0	"20220620"
374	7	"20220621"
324	4	"20220622"
306	1	"20220623"
348	7	"20220624"
344	5	"20220625"
97	0	"20220626"
88	0	"20220627"
696	3	"20220628"
545	4	"20220629"
589	0	"20220630"
643	5	"20220701"
616	6	"20220702"
158	0	"20220703"
119	0	"20220704"
1075	2	"20220705"
964	3	"20220706"
1068	9	"20220707"
1046	0	"20220708"
1264	4	"20220709"
284	0	"20220710"
227	0	"20220711"
2035	5	"20220712"
1647	6	"20220713"
1840	4	"20220714"
1974	2	"20220715"
2131	0	"20220716"
397	0	"20220717"
319	0	"20220718"
3251	5	"20220719"
2853	11	"20220720"
2999	6	"20220721"
3038	6	"20220722"
3493	12	"20220723"
642	0	"20220724"
589	0	"20220725"
5108	14	"20220726"
3721	11	"20220727"
3514	12	"20220728"
3391	9	"20220729"
3687	14	"20220730"
651	0	"20220731"
618	0	"20220801"
5649	22	"20220802"
4479	16	"20220803"
4481	20	"20220804"
4295	17	"20220805"
4410	15	"20220806"
698	0	"20220807"
599	0	"20220808"
5964	26	"20220809"
4482	31	"20220810"
4321	20	"20220811"
4226	14	"20220812"
4642	22	"20220813"
775	0	"20220814"
772	0	"20220815"
807	0	"20220816"
7175	25	"20220817"
5271	28	"20220818"
4819	34	"20220819"
4827	21	"20220820"
766	0	"20220821"
722	0	"20220822"
6176	28	"20220823"
4397	27	"20220824"
3852	31	"20220825"
3852	40	"20220826"
3934	23	"20220827"
608	0	"20220828"
556	0	"20220829"
5306	29	"20220830"
3840	34	"20220831"
3342	26	"20220901"
3454	11	"20220902"
3275	23	"20220903"
502	0	"20220904"
480	0	"20220905"
5845	21	"20220906"
4450	20	"20220907"
4227	25	"20220908"
4556	14	"20220909"
4973	19	"20220910"
648	0	"20220911"
659	0	"20220912"
7876	28	"20220913"
6134	19	"20220914"
5861	17	"20220915"
5431	25	"20220916"
5435	10	"20220917"
675	0	"20220918"
720	0	"20220919"
7677	16	"20220920"
5637	25	"20220921"
4945	21	"20220922"
4438	19	"20220923"
4534	25	"20220924"
741	0	"20220925"
731	0	"20220926"
6484	25	"20220927"
4879	28	"20220928"
4275	30	"20220929"
3890	30	"20220930"
3568	29	"20221001"
308	0	"20221002"
226	0	"20221003"
4619	33	"20221004"
3194	29	"20221005"
2889	42	"20221006"
2629	41	"20221007"
3743	13	"20221008"
463	0	"20221009"
386	0	"20221010"
3295	45	"20221011"
2362	22	"20221012"
1910	24	"20221013"
1748	22	"20221014"
1594	31	"20221015"
303	0	"20221016"
285	0	"20221017"
2261	31	"20221018"
1613	42	"20221019"
1519	18	"20221020"
1170	24	"20221021"
1118	14	"20221022"
181	0	"20221023"
173	0	"20221024"
1476	21	"20221025"
1024	23	"20221026"
976	22	"20221027"
791	12	"20221028"
806	17	"20221029"
158	0	"20221030"
150	0	"20221031"
862	7	"20221101"
153	0	"20221102"
955	12	"20221103"
693	14	"20221104"
578	13	"20221105"
100	0	"20221106"
130	0	"20221107"
746	8	"20221108"
538	17	"20221109"
492	10	"20221110"
476	5	"20221111"
73	0	"20221112"
84	0	"20221113"
85	0	"20221114"
688	17	"20221115"
506	15	"20221116"
432	10	"20221117"
359	15	"20221118"
392	7	"20221119"
71	0	"20221120"
86	0	"20221121"
597	8	"20221122"
449	10	"20221123"
454	4	"20221124"
390	2	"20221125"
421	8	"20221126"
78	0	"20221127"
94	0	"20221128"
763	7	"20221129"
584	6	"20221130"
555	9	"20221201"
542	4	"20221202"
448	8	"20221203"
105	0	"20221204"
109	0	"20221205"
913	7	"20221206"
658	4	"20221207"
648	15	"20221208"
250	6	"20221209"
388	11	"20221210"
123	0	"20221211"
211	0	"20221212"
1089	7	"20221213"
771	6	"20221214"
685	17	"20221215"
604	7	"20221216"
621	10	"20221217"
124	0	"20221218"
130	0	"20221219"
886	7	"20221220"
725	12	"20221221"
720	4	"20221222"
661	15	"20221223"
650	8	"20221224"
119	0	"20221225"
162	0	"20221226"
181	0	"20221227"
803	6	"20221228"
602	22	"20221229"
635	9	"20221230"
623	21	"20221231"
154	0	"20230101"
118	0	"20230102"
693	13	"20230103"
570	9	"20230104"
526	12	"20230105"
463	19	"20230106"
120	0	"20230107"
143	0	"20230108"
103	0	"20230109"
504	15	"20230110"
370	14	"20230111"
